region,crop,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Africa,Corn,15743495,16080674,16161501,16796402,16760403,16957537,17620462,17906962,17953590,17815343,18007636,18447889,17889424,18862090,19020565,19467117,18421334,18387016,18032426,18305286,18205081,18716571,19751663,19942464,20818347,23029420,23876383,24550656.5,24944116,25569241,25342091,25717297,26570126,27399266,25870952,26318045,26650502,25892852,25121548,25099440,24605921,25901599,28826127,28200929,29192700,28433158,27896898,29612666,30197069,31370066
Africa,FiberCrop,649189,651330,663574,675891,664475,667936,677671,686642,703325,682175,646994,662164,635103,652106,607080,537778,518992,527357,496470,524661,489988,457503,451886,431689,415985,426289,423103,398600,404833,410056,401222,367772,382520,364182,367270,376659,371448,364695,413399,377575,390755,390789,420866,355574,412866,385220,398577,414880,415397,413058
Africa,FodderGrass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,FodderHerb,42119,49663,52550,53580,54100,55590,55910,59490,52360,56160,59620,69710,84170,72730,78360,90400,79500,72210,79450,104740,62890,65750,57400,55590,70080,86550,69880,91100,84330,71660,86485,97801,97280,122052,113839,108784,113482,127216,127967,144111,149874,119375,115177,148291,152785,142828,140253,163259,179188,150658
Africa,MiscCrop,20007022,21251106,23020252,23208674,23352744,23861742,25325042.5,25189566,26264601,27187842,27563089,26182223,27299221,27616261,27815343,27609236,26438840,26736246,26627656,26774284,27037012.5,27684199,28026127,28143211,30152427.5,30480261.5,30511066.5,31788038,32527921,33578282,34415155,37334751,36903037,36564489,38961886,39673667,40129600,43274500,42107734,41549493,43061251,44414202,45782104,45950420,47722719,49313395,49712095,51869425,49941961.17,51525758.14
Africa,OilCrop,9093484,9322705,10962542,10878441,10693540,10332845,10880785,11616681,10763369,12051981,12702689,13179386,13213542,12739081,13068116,11993348,12185028,12108696,11626040,11525134.33,11949085.33,11027080.33,11377831,11106601.33,10899415,11522104,11881499.33,12849601.67,12753272,12439734.67,12866049,14206495.67,14134991.67,15114031,15891040,17012525.67,16535348,16970192,18550396,18139924,18108561,18255628,19185506,20000551,20547113,20789539,19865180,22174789.4,22359659.6,22474688.3
Africa,OtherGrain,31535466,31932634,33731241,32598125,33870472,32281600,34807028,33213925,38146026,36097237,35759930,32508842,35267390,34623296,31927698,35351773,33287652,32672061,31124289,33322257,31885365,30516582,31756395,33770897,39242680,40562745,38178346,42120439,40973205,39583785,44055289,46095985,45011193,49776396,47725448,50792066,49966899,51245778,49019977,47951549,49618735,48826569,54419756,50210812,58559019,55742735,56602047,58027357,54590670,54717850
Africa,PalmFruit,3874820,3662770,3762800,3796050,3847840,3735111,3289043,3355550,3479325,3426375,3434725,3288285,3302633,3484685,3442437,3415008,3464142,3330437,3687658,3693359,3435266,3452231,3346357,3632396,3608792,3648501,3741880,3734783,3794714,3821481,4022433,4156100,4309413,4396369,4610115,4721230,4728934,4765359,4859050,4967181,5152095,5103855,5316158,5482284,5597404,5319448,5414789,5505605,5582416,5229410
Africa,Rice,2776898,3099578,3042008,3187304,3133330,3235822,3548387,3667191,3646513,3790938,3909812,3848668,3974546,4060236,4271794,4299686,4482554,4526421,4760259,4705868,4803619,4940008,4838990,4871221,4959781,5168521,5213577,5603794,6501519,6034413,6592711,6689928,6644376,6907534,6994436,7055839,7461499,7537377,7509021,7561781,7553085,7824460,7996704,8328834,8696381,9131574,8615815,9218329,9541854,9341164
Africa,Root_Tuber,8309028,8647862,8824638,8964220,9126432,9115943,9525905,9835946,10277688,11128129,11135299,11011840,11237824,11316843,11528660,11234561,10952968,11025045,10764746,10719493,11366271,11963472,11842733,12275517,12153674,12457094,12501547,12994673,13679136,14156248,15997793,16480790,16721370,17122976,17350000,17797748,17635437,19264421,20275872,20747654,21146837,21667649,22168378,23061008,23514814,23766038,23732002,23596494,23960695,23388470.2
Africa,SugarCrop,431282,450685,509120,528584,565458,618237,675427,693538,734529,741610,771357,793056,787980,831972,870150,923283,944434,962392,1002489,999369,1085195,1113425,1134803,1242417,1255848,1290007,1280911,1271088,1232502,1251597,1273980,1199451,1212414,1252766,1264150,1298938,1322929,1352226,1400124,1409428,1426104,1567191,1610060,1606512,1681665,1618783,1699710,1720851,1729056,1754771
Africa,Wheat,7386031,7449306,7999188,7840283,8166925,7364808,8218481,8850261,9006529,9283577,9231255,9698388,9253453,8951382,8808533,9206258,8542338,8372445,8437861,8118473,7866971,7981619,8030731,8033832,8350895,8242723,8465159,7611071,8604698,8567236,9308496,8026891,8000409,7957235,8087089,10871535,8268519,10082515,8505187,8142379,8948272,7984843,9725834,10329265,9955240,10015096,9224905,8605286,9991750,9531013
Africa,Cotton_Fiber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Cotton_Total,3828747,3823693,3841584,3961449,4301585,4350323,4342287,4282656,4587927,4804394,4795025,4823661,4840200,4289378,4139690,4005904,4070255,4421735,3724704,3610232,3251925,3284082,3437578,3621382,3524357,3558202,3601291,3755012,3627872,3752858,4039308,3771388,3312905,3399547,3655265,4411619,4850766,4608227,4553394,4104989,5025997,4982257,4843747,5316675,5359526,4501883,4226300,4003590,3445929,3595608
Australia_NZ,Corn,78894,89664,89531,92473,91627,84926,86751,89412,76445,91348,101285,96686,76810,63874,77431,77206,87342,77293,77966,79558,80331,85970,87573,91851,126898,109241,82794,79257,74111,76552,74509,77884,69500,68788,79222,88546,98944,87669,96861,111206,100993,106209,78226,94768,102239,106377,76302,96015,94701,85658
Australia_NZ,FiberCrop,1595,16999,17486,17312,16924,16989,16979,17364,17009,17000,16605,14200,14210,14210,12210,12210,12205,12216,10156,10008,8000,8000,6000,6000,6000,4000,4000,4000,4000,3822,3644,4300,4081,4500,4441,5000,5111,5500,5475,6000,5628,6200,6196,6153,6256,6200,6200,6200,6200,4600
Australia_NZ,FodderGrass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia_NZ,FodderHerb,405,405,405,405,405,405,405,405,809,800,809,600,800,950,805,630,608,397,475,492,567,1666,417,600,674,4249,3013,5147,9482,10368,36190,76941,36000,23000,34000,40000,40000,41000,62000,39000,60000,40000,64762,23267,31984,20000,25000,22571,23399,28200
Australia_NZ,MiscCrop,273680,274121,282761,281462,286705,289022,286554,302572,325952,332547,370437,370520,378584,432355,453968,431091,402068,399299,447949,472528,548967,615230,825331,1123408,1214740,1576291,1978642,1827997,1659878,1730408,2065540,2068020,2192991,2594843,2437264,2388312,2716791,2745846,2581749,2646442,2517617,2459646,2140938,2198352,2058574,2218831,2166775,2011798,1940719,2234716
Australia_NZ,OilCrop,56675,65473,84607,106641,64153,87976,102501,86850,119274,183616,268659,458861,354018,305985,359565,233770,310246,419652,470256,364583,323813,283859,340265,395496,580021,484397,391087,372428,366377,229065,420750,279077,349316,564608,602652,588646,925000,1438880,2210710,1722045,1479454,1466754,1331650,1549878,1136385,1242179,1392183,1845207,1869253,1846000
Australia_NZ,OtherGrain,2434862,2431676,2463333,2510549,2700830,3023876,2740107,3243127,3277163,4079048,4530510,3946988,3930316,3435439,4008855,3990145,4592894,4746471,4243348,4220151,4947378,4598035,5905507,5653687,5425450,4601963,4822027,4547430,4299179,4170114,4470304,4947514,5082244,4188417,5316458,5687165,5404899,5115832,4268229,5263594,5816257,6177687,6834225,6802038,6563322,6449738,7250522,7330931,6624379,5954614
Australia_NZ,PalmFruit,17700,17832,17802,18452,17892,17805,12393,17353,17785,17785,17795,15333,13345,12787,12800,9800,10200,10160,10260,10300,10350,10380,10100,9400,9450,9450,9050,9100,9100,9154,8940,9023,9414,9203,9234,10007,9613,10188,9939,9919,8817,8331,7515,7216,7653,8594,8723,8947,9035,9200
Australia_NZ,Rice,20000,20309,22229,24038,24935,26061,29835,30738,33696,40145,40721,40469,45100,67502,75562,74840,92038,91434,110230,116356,106000,127000,77000,119038,121800,106100,95900,105400,97000,105000,89000,127000,125000,132700,129200,149700,166700,141200,151700,133300,177000,144000,45837,66396,51216,99000,20000,2200,8000,18900
Australia_NZ,Root_Tuber,49796,50866,59072,54981,50626,53777,50059,54026,57909,55094,48907,50243,47726,44669,48750,45311,46131,48309,45157,47109,46220,47606,49121,50662,50646,47543.56,49318,52057,49625,51481,50275,50803,51460,52924,51251,54884,54126,59904,56572,57528,54590,51848,50201,50896,52514,51102,48199,53343,47914,53529
Australia_NZ,SugarCrop,156522,162515,168982,190356,203636,225408,223830,230053,212787,220522,233738,241700,225855,253143,256801,288187,295163,251701,267198,288278,315945,318484,307156,312635,303701,311001,307162,317001,313001,332001,341001,329001,328001,338001,365001,383001,401001,420001,414001,419001,403001,426001,448001,447645,433954,415001,408625,380544,391292,405001
Australia_NZ,Wheat,6033699,6740067,6758036,7334040,7162440,8507500,9174944,10971949,9615697,6586877,7235378,7710676,9055960,8374954,8612856,9060002,10051106,10339882,11239856,11369052,11966243,11591206,13001497,12146680,11753843,11226353,9087963,8877429,9041706,9256590,7218500,8310610,8422000,7932690,9270820,10984000,10497000,11591600,12390800,12193500,11578000,11212187,13109900,13438462,12495415,11835862,12618838,13572526,13841885,13561762
Australia_NZ,Cotton_Fiber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia_NZ,Cotton_Total,15000,11700,15300,15600,15300,22200,21500,31100,32500,31700,35100,40100,43600,41700,38500,29800,35300,41600,49800,75000,83600,103500,96500,137400,183100,177000,156000,244600,194100,239800,279000,312000,286000,294000,246000,303900,396100,438200,565100,464300,527300,409000,224500,198100,320900,335500,143600,62700,164000,208300
Canada,Corn,186912,204776,246586,293065,329891,358415,384540,423733,433300,530514,597479,568810,558483,619990,666275,739657,761984,878390,981018,1050533,1172907,1142022,1105725,1180912,1155652,1025282,1030909,1018504,1071101,1065895,1138511,890772,1043424,987051,1034129,1125538,1078938,1151625,1180983,1137338,1299977,1313485,1256723,1098600,1109475,1083247,1394772,1189880,1161417,1221751
Canada,FiberCrop,0,0,0,650,0,2650,0,1800,0,3900,4300,6600,12200,14850,16700,18800,22000,28800,22000,32000,32400,39000,43600,32800,48500,56500,57000,55000,35000,43500,36000,30500,27500,32500,44000,61000,59000,60500,56500,46000,49000,29150,28300,26600,35700,54150,32100,23000,24000,24000
Canada,FodderGrass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,FodderHerb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,MiscCrop,248163,244853,254934,266958,258678,284002,272071,267643,269834,268792,261546,259558,273832,300923,299612,274370,295990,315799,285412,344403,351712,392872,353908,377121,387858,475333,718183,634787,483734,489764,708363,771858,1056733,1329437,1408900,1090928,1456255,1763372,1792547,2530080.5,2774196.9,1885232.4,2068048.7,2314339.7,2473982,2284331,2536188,2630372,2786889,3038796
Canada,OilCrop,1280042,870710,1034537,1276158,1715335,1608740,1295059,1393885,2019230,3224856,3191505,2182435,2239498,2183658,2644630,1251675,2415254,3825486,4842664,3140660,2351000,2904600,3244000,4416500,4117900,3990000,3870800,4917000,4309700,4003958,4434535,4084195,5594100,7714600,7264500,5151200,7009900,7615900,7631200,6792300,5742800,5637400,6903100,6901893,7337126,7436196,8293996,8575893,8660061,8588000
Canada,OtherGrain,6578356,7310029,7176602,6381713,6870240,7257161,7259147,7542552,7834007,7979964,9690308,8666264,8652139,8345718,7968000,7685530,7789659,7050700,6212600,7088300,8109400,7850700,6766500,6791400,6856600,6938600,7087800,6306000,7170293,6420374,5603258,5488400,6062200,6237100,6151200,7214100,6722100,6527300,5990200,6248200,5860700,5181100,6384300,5700500,5358300,5203400,6221000,5340800,4224600,3540200
Canada,PalmFruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,Rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,Root_Tuber,125000,117265,116779,113218,120542,130052,124000,123699,124508,128798,109657,99782,106460,115363,106338,106800,112100,110770,113128,106910,110520,113393,113027,117480,113959,109256,113900,111000,114500,119700,118735,123793,124890,132900,144150,147300,152100,156376,156619,159240,166650,170900,180890,171712,156256,158198,158927,151393,146303,139905
Canada,SugarCrop,34368,34267,38535,40999,34407,32889,33712,32239,32061,27830,32818,31407,27777,27335,32166,32100,25600,24710,23760,26570,29290,28700,30900,27400,12000,23400,22600,20600,22600,24100,24875,22660,22260,25500,24700,23350,14160,18200,17400,16600,11700,10100,12100,14200,13400,15000,13800,6900,10900,11300
Canada,Wheat,10245000,10853000,11156000,12018000,11453000,12016000,12189300,11907900,10101400,5051780,7853500,8639800,9575010,8938000,9478740,11251700,10115400,10575100,10523100,11208400,12426600,12521000,13680500,13160900,13729000,14229400,13457700,12944300,13717500,14097500,14160900,13830300,12374000,10773000,11122700,12262000,11409900,10679700,10374800,10854800,10605500,8710500,10214500,9388900,9403800,9681800,8636300,10031700,9638200,8268700
Canada,Cotton_Fiber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,Cotton_Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Corn,16088280,13711089,16296960,16287015,16622515,17920411,16908386,16924741,16923240,16727900,17651576,17613446,17517128,18391829,19620817,20322013,20828952,21145472,21285629,21552605,20599850,19696510,19985032,19708693,18888936,20322786,21416439,20994383,21692263,22641469,22791155,22292959,21941217,22441804,24123252,25822265,25135885,26599921,27265393,24370022,25603669,26047011,25585808,27032246,28053736,28611466,31236791,31995954,33023914,34484280
China,FiberCrop,265037,276935,316178,344494,369098,452223,456505,439791,434432,429380,421259,455602,544729,582591,593613,627775,677540,718316,711557,642349,621290,539427,499294,595083,1330122,897801,1064502,830554,620433,545546,500151,483333,473612,420629,422159,395299,378900,269871,249022,295796,360252,380193,376239,348346,373878,320836,309974,264376,202597,178392.3
China,FodderGrass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,FodderHerb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,MiscCrop,18001832,18809743,16071920,15645891,15777162,15227477,15376554,15178624,14773273,14046178,13290493,13082681,13637628,13429686,13842200,14136620,14530301,14292717,14716393,14461172,15128612,15698993,15721463,16202337,17785689,19260561,20602026,21854783,22602437,21752385,20781983,21829101,25118247,26920131,28015460,29963608,31405832,31903081,33843225,36662693,38206721,39637091,40273618,41149514,42202274,42430744,43002977,43471765,44164512.8,44658216.4
China,OilCrop,14164882,13814979,14313918,15416084,14032843,13851130,13831716,13186370,13133416,12728812,12804108,13033716,12851608,12691121,12734395,12509745,12431251,13449751,14235723,14987989,17151779,17796479,16000657,16077323,19741247,20306219,20635514,19784629,19469024,19530537,19691205,19888422,21895060,22633545,22545611,21301119,21993928,22733850,23178446,25879002,25415228,24818109,25644563,25499232,25531477,23032001,21626354,23529389,24379921,24003338
China,OtherGrain,23087561,25521146,23961567,22145695,21302299,21822006,20649330,19497957,20085852,19656161,19341638,18826416,18529986,17308786,15688787,14364001,13616356,13445874,12566220,11341058,11320334,11087665,11413292,10773153,9488147,9087942,8888165,8725761,8360541,8179014,8828943,8736830,7762304,7362753,7119430,6858790,6520221,6032831,5708779,5715961,4971787,4857556,4371953,4026060,4009837,4051688,3791006,3651253,3426779,3373520
China,PalmFruit,42400,40000,40000,40000,40600,39200,38000,36000,34000,32500,33600,32000,31000,31000,30700,36604,51996,62140,71720,68600,82100,90500,100100,118600,201600,230686,270800,279600,272787,277709,278013,269499,272995,252035,243344,255839,244998,237013,239004,219484,219474,213185,208642,209461,208414,206727,210632,212871,213761,215909
China,Rice,34390821,35326155,35666397,38193438,38224838,38657769,38514109,38380755,38599067,40761261,42741753,42680803,42192144,42521826,42864875,43896472,43387042,42292994,41478878,42172670,41567002,41664092,41650488,41063103,40446984,40665666,40312396,40669366,41578055,42016767,41628502,41240150,39717957,39213437,40379079,41216662,41768590,41476770,41950140,40405960,39189019,38590607,37058364,38753065,39443500,39982510,39535916,40077342,40562390,40977472
China,Root_Tuber,12734550,13018846,11399937,12130065,11556393,12480554,11558078,11176486,11317806,11595925,11294395,12246931,12220695,11976342,11851813,11352276,12433233,13116823,12378765,11635124,11011434,10667803,10612925,10172320,9724743,9825284,9998011,10213375,10179089,10179209,10182868,10422507,10407352,10357636,10557596,10850950,10826160,11059437,11470931,11640296,11365337,11085744,10940676,10685638,10776946,9232335,9491846,9968077,10053284,10214151
China,SugarCrop,546915,383900,411482,583683,693428,700264,665952,630248,645281,710662,770003,873815,936226,914300,985099,1088600,1057872,1064422,1037065,1145314,1205866,1348882,1446966,1488554,1763659,1669785,1566564,1892100,1738362,1884577,2161230,2122397,1901576,1991408,2112776,2144364,1931910,1980168,1735973,1827534,1985635,2174395,2001482,1875928,1848169,1874376,2116501,2284017,2173095,2197600
China,Wheat,26002759,24556363,24277512,25910511,25221119,24411507,25789891,25141716,25638660,25928003,26083036,26715672,26834386,27444304,28045268,28794502,28473558,29684151,29828977,29684137,28773719,28444008,29580338,30123282,29786123,30174434,29356965,29365979,30450159,31377230,31567780,31112088,30821707,29498950,29299520,30010874,30444188,30146235,29176124,26890907,24913978,24179716,22268713,21864089,23023216,23159532,23917721,23840283,24614689,24579319
China,Cotton_Fiber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Cotton_Total,3917007,3533015,4443276,4969895,5038585,4954543,5124852,5014890,4863461,5019921,4943704,4916273,4961646,5031685,4972238,4947996,4871919,4891053,4529673,4936909,5202335,5850700,6100905,6946603,5170672,4336476,4873945,5557942,5228706,5613905,6572774,6871401,5014901,5559901,5457700,4755970,4525061,4502195,3765990,4078790,4856630,4237490,5157996,5740207,5106897,5855800,5957394,5779089,4980620,4877321.59
Eastern Europe,Corn,8286414,7866541,8115090,7959326,7952123,7914746,7849191,7892922,7775615,7518118,7797533,7932594,7694535,7470086,8017302,8118561,7945072,7468729,7928751,7607199,7411904,7075710,7190534,7396209,7312090,7261299,6995885,6780642,6994871,6472352,6752536,7623703,7069123,6969878,6809405,7159604,6928411,6962718,6881515,7019733,7000669,6773730,7239625,7389904,6586952,6446059,5932247,6492753,6156848,6091857
Eastern Europe,FiberCrop,336758,360636,342359,352362,331755,329056,342319,304092,280425,265520,266815,257042,238814,243967,250532,266463,238622,257758,265898,249054,226612,203487,211547,216493,223404,198150,182373,176512,187173,101353,60763,39758,18947,25661,30852,21379,12217,12330,12652,13929,13882,13171,11183.3,10937,13578,8230,4829,4645,4101,4213
Eastern Europe,FodderGrass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Europe,FodderHerb,215337,192737,184998,171018,175308,182902,150945,113032,103571,98687,84359,80122,66217,69842,60070,48127,47813,43165,45447,38372,42831,39657,40942,34190,32185,32036,29099,31855,32646,29815,29048,27679,23778,21193,21531,23653,22586,21825,20719,20933,22003,21248,19873,19305,21027,19326,21579,20645,22786,20370
Eastern Europe,MiscCrop,6735328,6686795,7309430,7316884,6864089,6048233,5677482,5288044,5018468,4828173,4666639,4597161,4351077,4435867,4369149,4289777,4086107,4011902,3774069,3840741,3817905,3796564,4040430,4022340,4932277,4933650,4832696,4934048,4991229,4369725,4343286,4365957,4161894,3950596,4007285,3896823,3833749,3887230,3808169,3688842,3572331,3345001,3640921.6,3658914,3451918.8,3493155,3539257,3458437,3479688,3294919
Eastern Europe,OilCrop,1652605,1719812,1697340,1745775,1781539,1798923,1925701,1997086,1847239,2081994,2221063,2055738,2155477,2138399,2138476,2319595,2372960,2463431,2470852,2650959,2622872,2488964,2486970,2714724,2922205,2973442,3031366,2982568,3176513,2725962,2673048,3023117,2744329,2776110,3459953,3306478,3040200,3653678,4397739,3570162,3319400,3592413,4251358,4003981,4263745.6,4677211,4638757,4996649,5037448,5284313
Eastern Europe,OtherGrain,12426744,11914444,11634414,11466010,11255288,11094327,10832922,10600761,10629648,10032259,10111473,10107341,9861061,9728667,9849283,9317236,9714992,9600384,10064203,9868561,10342911,10437715,9975927,9658174,9482883,9415811,9310649,9504483,9537254,9599774,10067518,9529672,9589182,9840994,9473739,9333108,9696187,9416893,9018170,8860751,9056864,8802561,8534759,8715720,8778518.7,8546192,8701792,8880436,8866912,8383900
Eastern Europe,PalmFruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
